sense_id,word_id,word,definition,current_pol,current_speech_pane,proposed_part_of_speech,proposed_domain,proposed_axis_values,proposed_example,confidence,conflict_reason,owner_user_id,owner_user_name,human_part_of_speech,human_domain,human_axis_values,human_example,human_note
2013,12007,باب,سۆرانی: باوک,مرۆڤ,ناو | ئاوەڵناو,,کولتووری › مرۆڤ,ڕەگەز=نێر,,LOW,word carries several parts of speech (ناو / هاوەڵناو); a sense may only have one,ebadd113-3f1e-45e8-8dab-cfe024e7156d,barzihiwa,,,,,
2014,12007,باب,کرمانجی: باڤ,مرۆڤ,ناو | ئاوەڵناو,,کولتووری › مرۆڤ,ڕەگەز=نێر,,LOW,word carries several parts of speech (ناو / هاوەڵناو); a sense may only have one,ebadd113-3f1e-45e8-8dab-cfe024e7156d,barzihiwa,,,,,
2015,12007,باب,شیاو، ڕەوا: ئەم کارە بابی تۆ نییە.,مرۆڤ,ناو | ئاوەڵناو,,کولتووری › مرۆڤ,ڕەگەز=نێر,,LOW,word carries several parts of speech (ناو / هاوەڵناو); a sense may only have one,ebadd113-3f1e-45e8-8dab-cfe024e7156d,barzihiwa,,,,,
2016,12007,باب,باو، دابونەریت: ڕیش تاشین قەدیم باو نەبوو.,مرۆڤ,ناو | ئاوەڵناو,,کولتووری › مرۆڤ,ڕەگەز=نێر,,LOW,word carries several parts of speech (ناو / هاوەڵناو); a sense may only have one,ebadd113-3f1e-45e8-8dab-cfe024e7156d,barzihiwa,,,,,
2017,12007,باب,فارسی: پدر,مرۆڤ,ناو | ئاوەڵناو,,کولتووری › مرۆڤ,ڕەگەز=نێر,,LOW,word carries several parts of speech (ناو / هاوەڵناو); a sense may only have one,ebadd113-3f1e-45e8-8dab-cfe024e7156d,barzihiwa,,,,,
2018,12008,ئایدار,قاوەچی و چایەچی دیوەخانی گەورەماڵان,کەس,ناو,ناو,ناو › کەس,ڕەگەز=نێر,,HIGH,,f65f7d2f-996a-4df7-a10e-c6e846940032,ahmadaziz,,,,,
2022,12009,ئابدارباشی,سەرۆکی چاپەز و قاوەچی دیوەخان,کەس,ناو,ناو,ناو › کەس,ڕەگەز=نێر,,HIGH,,f65f7d2f-996a-4df7-a10e-c6e846940032,ahmadaziz,,,,,
2025,12010,ئابدارخانە,ژوری چالێنان وقاوەسازکردن بۆ دیوەخان,شوێن,ناو,ناو,ناو › شوێن,ڕەگەز=بێلایەن,,HIGH,,f65f7d2f-996a-4df7-a10e-c6e846940032,ahmadaziz,,,,,
2026,12010,ئابدارخانە,باروبنەی تایبەتی پیاوی گەورە لەسەفەردا,شوێن,ناو,ناو,ناو › شوێن,ڕەگەز=بێلایەن,,HIGH,,f65f7d2f-996a-4df7-a10e-c6e846940032,ahmadaziz,,,,,
2027,12011,ئابدۆزەک,شرینقە، دەرزی کە دەرمانی پێ دە لەش دەکەن,کەرەستە,ناو,ناو,کولتووری › کەرەستە,ڕەگەز=بێلایەن,,HIGH,,f65f7d2f-996a-4df7-a10e-c6e846940032,ahmadaziz,,,,,
6662,12012,ئابدەست,ئاودەس، سەرپێشاو,شوێن,ناو,ناو,ناو › شوێن,ڕەگەز=بێلایەن,,HIGH,,79dd71fd-aaa5-4f5a-9211-101eeda2d0b8,ahmadaziz,,,,,
2030,12013,ئابدەستخانە,ئاودەست، دەستاو، سەراو، سەرپێشاو,شوێن,ناو,ناو,ناو › شوێن,,,HIGH,,f65f7d2f-996a-4df7-a10e-c6e846940032,ahmadaziz,,,,,
2031,12014,ئابرا,بە برای گەورە دەڵێن,کەس,ناو,ناو,ناو › کەس,,,HIGH,,f65f7d2f-996a-4df7-a10e-c6e846940032,ahmadaziz,,,,,
2033,12015,ئابرو,ئابڕو، شەرم، ناموس,سیفەت,ئاوەڵناو,هاوەڵناو,,ڕەگەز=بێلایەن,,LOW,"پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision",f65f7d2f-996a-4df7-a10e-c6e846940032,ahmadaziz,,,,,
2034,12017,ئابڕوبەرە,ھۆی ئابڕوچون، ئاور و بەر,سیفەت,ناو,ناو,,ڕەگەز=بێلایەن,,LOW,"پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision ; پۆل says «هاوەڵناو», جۆری وشە says «ناو» — they disagree",f65f7d2f-996a-4df7-a10e-c6e846940032,ahmadaziz,,,,,
3019,13009,ئابروتکان,رسوایی، ناوزڕان، ڕوسیابوون,سیفەت,ئاوەڵناو,هاوەڵناو,,ڕەگەز=بێلایەن,,LOW,"پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision",f65f7d2f-996a-4df7-a10e-c6e846940032,ahmadaziz,,,,,
3020,13010,ئابروتکاو,روسیا، سوک و چروک,سیفەت,ئاوەڵناو,هاوەڵناو,,ڕەگەز=بێلایەن,,LOW,"پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision",f65f7d2f-996a-4df7-a10e-c6e846940032,ahmadaziz,,,,,
3022,13011,ئابڕوچوون,سوک بوون لەبەرچاون، ناوزڕان,سیفەت,ئاوەڵناو,هاوەڵناو,,ڕەگەز=بێلایەن,,LOW,"پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision",f65f7d2f-996a-4df7-a10e-c6e846940032,ahmadaziz,,,,,
3024,13012,ئابڵوقە,دەورەدان، چواردەوەرە گرتن،,ئەنجامدانی کارێک,کار,کار,,,,LOW,"پۆل «ئەنجامدانی کارێک» is really the part of speech «کار» — routed nowhere, needs a decision",f65f7d2f-996a-4df7-a10e-c6e846940032,ahmadaziz,,,,,
3026,13013,ئابوتاب,جوان و ڕێکوپێک,سیفەت,ئاوەڵناو,هاوەڵناو,,ڕەگەز=بێلایەن,,LOW,"پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision",f65f7d2f-996a-4df7-a10e-c6e846940032,ahmadaziz,,,,,
3028,13014,ئابور,ڕێز، شەررم، ناموس، ئابڕو، سازدان، پێکھێنان,سیفەت,ناو | ئاوەڵناو,,,ڕەگەز=بێلایەن,,LOW,"word carries several parts of speech (ناو / هاوەڵناو); a sense may only have one ; پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision",f65f7d2f-996a-4df7-a10e-c6e846940032,ahmadaziz,,,,,
3030,13015,ئابوری,مایەی گوزەران و بژیو،,سیفەت,ناو,ناو,,ڕەگەز=بێلایەن,,LOW,"پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision ; پۆل says «هاوەڵناو», جۆری وشە says «ناو» — they disagree",f65f7d2f-996a-4df7-a10e-c6e846940032,ahmadaziz,,,,,
3032,13016,ئابونە,پارەی ڕۆژنامە یا گۆڤارێک لەپێشدا دان و لەسەریەک وەرگرتنی,ئەنجامدانی کارێک,ناو,ناو,,ڕەگەز=بێلایەن,,LOW,"پۆل «ئەنجامدانی کارێک» is really the part of speech «کار» — routed nowhere, needs a decision ; پۆل says «کار», جۆری وشە says «ناو» — they disagree",f65f7d2f-996a-4df7-a10e-c6e846940032,ahmadaziz,,,,,
3034,13017,ئابۆنە,پیاوی زلحۆرت,کەس,ناو,ناو,ناو › کەس,ڕەگەز=نێر,,HIGH,,f65f7d2f-996a-4df7-a10e-c6e846940032,ahmadaziz,,,,,
3035,13018,ئاپ,مام، برای باوک,کەس,ناو,ناو,ناو › کەس,ڕەگەز=نێر,,HIGH,,f65f7d2f-996a-4df7-a10e-c6e846940032,ahmadaziz,,,,,
3037,13019,ئاپۆ,بۆ بانگکردنی مام دەڵێن، دەشڵێن پیرۆت ئاپۆی منە,کەس,ناو,ناو,ناو › کەس,ڕەگەز=نێر,,HIGH,,f65f7d2f-996a-4df7-a10e-c6e846940032,ahmadaziz,,,,,
3039,13020,ئاپۆر,بەڵا، بسەرھاتی خراپ، تەگەرە,سیفەت,ئاوەڵکار,هاوەڵکار,,,,LOW,"پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision ; پۆل says «هاوەڵناو», جۆری وشە says «هاوەڵکار» — they disagree",f65f7d2f-996a-4df7-a10e-c6e846940032,ahmadaziz,,,,,
3905,13021,ئاپۆڕا,کۆمای خەڵک پێکەوە,کەس,ناو | ئاوەڵکار,,ناو › کەس,ڕەگەز=دوولایەن,,LOW,word carries several parts of speech (ناو / هاوەڵکار); a sense may only have one,f65f7d2f-996a-4df7-a10e-c6e846940032,ahmadaziz,,,,,
3042,13022,ئات,ھێمایە بۆ کۆمەڵ و کۆ(حەشەمات، ئاغاوات، دێھات,کەس,ناو,ناو,ناو › کەس,ڕەگەز=دوولایەن,,HIGH,,f65f7d2f-996a-4df7-a10e-c6e846940032,ahmadaziz,,,,,
3043,13023,ئاتاج,چاو لە کۆمەک، ھەژار، نەدار، موحتاج,سیفەت,ئاوەڵناو,هاوەڵناو,,,,LOW,"پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision",f65f7d2f-996a-4df7-a10e-c6e846940032,ahmadaziz,,,,,
3044,13023,ئاتاج,محتاج، فارسی,سیفەت,ئاوەڵناو,هاوەڵناو,,,,LOW,"پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision",f65f7d2f-996a-4df7-a10e-c6e846940032,ahmadaziz,,,,,
3056,13024,ئاتاجی,کەمایەسی,سیفەت,ئاوەڵناو,هاوەڵناو,,,,LOW,"پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision",f65f7d2f-996a-4df7-a10e-c6e846940032,ahmadaziz,,,,,
3047,13025,ئاتون,ئاگردانی حەمام,شوێن,ناو,ناو,ناو › شوێن,ڕەگەز=بێلایەن,,HIGH,,f65f7d2f-996a-4df7-a10e-c6e846940032,ahmadaziz,,,,,
3049,13026,ئاتەر,ئاگر، ئاور، ئایەر,کەرەستە | وزە,ناو,ناو,کولتووری › کەرەستە,ڕەگەز=بێلایەن,,HIGH,پۆل «وزە» has no home among the deck's ten (see unmapped.csv),f65f7d2f-996a-4df7-a10e-c6e846940032,ahmadaziz,,,,,
3051,13027,ئاتەران,ڕاوە، قسەپەڕاندن,سیفەت,ئاوەڵناو,هاوەڵناو,,,,LOW,"پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision",f65f7d2f-996a-4df7-a10e-c6e846940032,ahmadaziz,,,,,
