category,word_count,reason_code,reason,human_decision
سیفەت,522,IS_A_PART_OF_SPEECH,"«سیفەت» is a part of speech, not a subject field. It must not become a Domain.",
ئەنجامدانی کارێک,509,IS_A_PART_OF_SPEECH,"«ئەنجامدانی کارێک» is a part of speech, not a subject field. It must not become a Domain.",
باروودۆخ,87,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
هەست,65,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
چەمک,57,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
دەستەواژە,55,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
میوە,48,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
درەخت,43,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
کات,42,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
گیانلەبەر,39,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
گژوگیا,39,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
ئامێر,38,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
دەنگ,38,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
دۆخی کەشوھەوا,30,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
زمانەوانی,30,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
جلوبەرگ,28,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
گوند,28,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
دەروون ناسی,26,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
دانەوێڵە,23,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
پیشە,18,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
ناو تایبەت بە ڕەگەزی نێر,18,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
ڕوودانی کار,17,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
سەوزە,16,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
تام,15,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
ڕەنگ,13,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
دەرمان,13,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
بەرگ,12,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
ڕووداوی سروشتی,10,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
نەتەوە,10,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
وەرز و مانگەکان,9,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
دۆخی ماددە,9,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
گۆڕانی دۆخ,9,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
خاوەندارییەتی,9,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
خێزان و بنەماڵە,9,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
ماددە,8,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
یەکەی پێوانە,8,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
وشەی سەرسوڕمان,7,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
دەنگی ئاژەڵ,7,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
بۆنە,7,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
ئەدەب,7,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
ژمارەکان,7,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
مرۆڤناسی/ تەمەن و قۆناغەکانی ژیان,7,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
زیندەوەر,7,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
گۆرانی کوردی,6,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
خەمڵاندن,6,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
چار شێوی ژنان,6,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
بانگکردن,5,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
پاشماوەی گیانداران,5,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
تۆوەکان,5,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
کەلتووری,5,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
خواردنەوە,4,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
کانزا,4,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
مێشولە,4,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
وشەی پرس,4,NO_HOME_IN_DECK,"No parent among the deck's ten dictionaries. Decide a parent, or retire it.",
